id,student_id,word_id,correct,created_at,updated_at,word_test_id
94,13,69,false,2020-10-11 18:48:44 +0900,2020-10-11 18:48:44 +0900,16
95,13,300,false,2020-10-11 18:48:50 +0900,2020-10-11 18:48:50 +0900,16
96,13,154,false,2020-10-11 18:48:55 +0900,2020-10-11 18:48:55 +0900,16
97,13,385,true,2020-10-11 18:48:59 +0900,2020-10-11 18:48:59 +0900,16
98,13,239,true,2020-10-11 18:49:04 +0900,2020-10-11 18:49:04 +0900,16
99,13,470,false,2020-10-11 18:49:09 +0900,2020-10-11 18:49:09 +0900,16
100,13,324,true,2020-10-11 18:49:13 +0900,2020-10-11 18:49:13 +0900,16
101,13,555,true,2020-10-11 18:49:17 +0900,2020-10-11 18:49:17 +0900,16
102,2,563,true,2020-10-11 19:51:08 +0900,2020-10-11 19:51:08 +0900,17
103,2,207,true,2020-10-11 19:51:11 +0900,2020-10-11 19:51:11 +0900,17
104,2,61,true,2020-10-11 19:51:16 +0900,2020-10-11 19:51:16 +0900,17
105,2,292,true,2020-10-11 19:51:20 +0900,2020-10-11 19:51:20 +0900,17
106,2,146,true,2020-10-11 19:51:24 +0900,2020-10-11 19:51:24 +0900,17
107,2,377,true,2020-10-11 19:51:27 +0900,2020-10-11 19:51:27 +0900,17
108,2,231,true,2020-10-11 19:51:31 +0900,2020-10-11 19:51:31 +0900,17
109,2,462,true,2020-10-11 19:51:35 +0900,2020-10-11 19:51:35 +0900,17
110,2,316,true,2020-10-11 19:51:39 +0900,2020-10-11 19:51:39 +0900,17
111,2,547,true,2020-10-11 19:51:43 +0900,2020-10-11 19:51:43 +0900,17
112,2,2015,true,2020-10-11 19:52:01 +0900,2020-10-11 19:52:01 +0900,18
113,2,1869,true,2020-10-11 19:52:04 +0900,2020-10-11 19:52:04 +0900,18
114,2,1723,true,2020-10-11 19:52:09 +0900,2020-10-11 19:52:09 +0900,18
115,2,1954,true,2020-10-11 19:52:14 +0900,2020-10-11 19:52:14 +0900,18
116,2,1808,true,2020-10-11 19:52:18 +0900,2020-10-11 19:52:18 +0900,18
117,2,1768,false,2020-10-11 19:52:22 +0900,2020-10-11 19:52:22 +0900,18
118,2,1853,false,2020-10-11 19:52:27 +0900,2020-10-11 19:52:27 +0900,18
119,2,1707,true,2020-10-11 19:52:32 +0900,2020-10-11 19:52:32 +0900,18
120,2,1938,true,2020-10-11 19:52:36 +0900,2020-10-11 19:52:36 +0900,18
121,2,1792,false,2020-10-11 19:52:41 +0900,2020-10-11 19:52:41 +0900,18
122,2,1877,true,2020-10-11 19:53:10 +0900,2020-10-11 19:53:10 +0900,19
123,2,1962,true,2020-10-11 19:53:14 +0900,2020-10-11 19:53:14 +0900,19
124,2,1691,true,2020-10-11 19:53:19 +0900,2020-10-11 19:53:19 +0900,19
125,2,1776,true,2020-10-11 19:53:23 +0900,2020-10-11 19:53:23 +0900,19
126,2,1861,false,2020-10-11 19:53:28 +0900,2020-10-11 19:53:28 +0900,19
127,2,1715,false,2020-10-11 19:53:32 +0900,2020-10-11 19:53:32 +0900,19
128,2,1946,true,2020-10-11 19:53:36 +0900,2020-10-11 19:53:36 +0900,19
129,2,1800,true,2020-10-11 19:53:40 +0900,2020-10-11 19:53:40 +0900,19
130,2,1885,false,2020-10-11 19:53:46 +0900,2020-10-11 19:53:46 +0900,19
131,2,1970,true,2020-10-11 19:53:51 +0900,2020-10-11 19:53:51 +0900,19
132,2,4674,true,2020-10-11 19:54:28 +0900,2020-10-11 19:54:28 +0900,20
133,2,4719,false,2020-10-11 19:54:33 +0900,2020-10-11 19:54:33 +0900,20
134,2,4658,true,2020-10-11 19:54:37 +0900,2020-10-11 19:54:37 +0900,20
