id,student_id,correct,created_at,updated_at,old_word_id,old_word_test_id
63,2,false,2020-10-18 15:21:23 +0900,2020-10-18 15:21:23 +0900,98,20
64,2,false,2020-10-18 15:21:29 +0900,2020-10-18 15:21:29 +0900,329,20
65,2,false,2020-10-18 15:21:33 +0900,2020-10-18 15:21:33 +0900,183,20
66,2,true,2020-10-18 15:21:38 +0900,2020-10-18 15:21:38 +0900,37,20
67,2,false,2020-10-18 15:21:44 +0900,2020-10-18 15:21:44 +0900,414,20
68,2,false,2020-10-18 15:21:49 +0900,2020-10-18 15:21:49 +0900,268,20
69,2,true,2020-10-18 15:21:52 +0900,2020-10-18 15:21:52 +0900,122,20
70,16,true,2020-10-20 15:01:37 +0900,2020-10-20 15:01:37 +0900,313,22
71,16,true,2020-10-20 15:01:41 +0900,2020-10-20 15:01:41 +0900,398,22
72,16,false,2020-10-20 15:01:47 +0900,2020-10-20 15:01:47 +0900,42,22
73,16,true,2020-10-20 15:01:51 +0900,2020-10-20 15:01:51 +0900,127,22
74,16,true,2020-10-20 15:01:55 +0900,2020-10-20 15:01:55 +0900,212,22
75,16,true,2020-10-20 15:02:00 +0900,2020-10-20 15:02:00 +0900,66,22
76,16,true,2020-10-20 15:02:05 +0900,2020-10-20 15:02:05 +0900,297,22
77,16,true,2020-10-20 15:02:09 +0900,2020-10-20 15:02:09 +0900,151,22
78,16,true,2020-10-20 15:02:14 +0900,2020-10-20 15:02:14 +0900,382,22
79,16,false,2020-10-20 15:02:20 +0900,2020-10-20 15:02:20 +0900,236,22
80,16,true,2020-10-20 15:10:27 +0900,2020-10-20 15:10:27 +0900,321,23
81,16,false,2020-10-20 15:10:34 +0900,2020-10-20 15:10:34 +0900,406,23
82,16,false,2020-10-20 15:10:39 +0900,2020-10-20 15:10:39 +0900,50,23
83,16,true,2020-10-20 15:10:43 +0900,2020-10-20 15:10:43 +0900,135,23
84,16,false,2020-10-20 15:10:50 +0900,2020-10-20 15:10:50 +0900,220,23
85,16,true,2020-10-20 15:10:54 +0900,2020-10-20 15:10:54 +0900,74,23
86,16,true,2020-10-20 15:10:59 +0900,2020-10-20 15:10:59 +0900,425,23
87,16,true,2020-10-20 15:11:02 +0900,2020-10-20 15:11:02 +0900,275,23
88,16,false,2020-10-20 15:11:10 +0900,2020-10-20 15:11:10 +0900,449,23
89,16,true,2020-10-20 15:11:15 +0900,2020-10-20 15:11:15 +0900,360,23
90,16,true,2020-10-20 16:59:47 +0900,2020-10-20 16:59:47 +0900,421,24
91,16,false,2020-10-20 16:59:53 +0900,2020-10-20 16:59:53 +0900,4,24
92,16,false,2020-10-20 16:59:57 +0900,2020-10-20 16:59:57 +0900,89,24
93,16,false,2020-10-20 17:00:02 +0900,2020-10-20 17:00:02 +0900,445,24
94,16,false,2020-10-20 17:00:07 +0900,2020-10-20 17:00:07 +0900,28,24
95,1,false,2020-10-21 23:37:42 +0900,2020-10-21 23:37:42 +0900,206,28
96,1,true,2020-10-21 23:37:46 +0900,2020-10-21 23:37:46 +0900,60,28
97,1,false,2020-10-21 23:37:51 +0900,2020-10-21 23:37:51 +0900,291,28
98,1,true,2020-10-21 23:37:56 +0900,2020-10-21 23:37:56 +0900,145,28
99,1,true,2020-10-21 23:38:02 +0900,2020-10-21 23:38:02 +0900,376,28
100,1,true,2020-10-21 23:38:07 +0900,2020-10-21 23:38:07 +0900,230,28
101,1,true,2020-10-21 23:38:11 +0900,2020-10-21 23:38:11 +0900,315,28
102,1,false,2020-10-21 23:38:17 +0900,2020-10-21 23:38:17 +0900,408,28
103,1,true,2020-10-21 23:38:21 +0900,2020-10-21 23:38:21 +0900,52,28
104,1,false,2020-10-21 23:38:28 +0900,2020-10-21 23:38:28 +0900,137,28
105,1,false,2020-10-21 23:39:27 +0900,2020-10-21 23:39:27 +0900,222,30
106,1,false,2020-10-21 23:39:32 +0900,2020-10-21 23:39:32 +0900,76,30
107,1,false,2020-10-21 23:39:37 +0900,2020-10-21 23:39:37 +0900,453,30
108,1,true,2020-10-21 23:39:42 +0900,2020-10-21 23:39:42 +0900,307,30
109,1,false,2020-10-21 23:39:48 +0900,2020-10-21 23:39:48 +0900,161,30
110,1,false,2020-10-21 23:39:55 +0900,2020-10-21 23:39:55 +0900,392,30
111,1,false,2020-10-21 23:39:59 +0900,2020-10-21 23:39:59 +0900,246,30
112,1,true,2020-10-21 23:40:04 +0900,2020-10-21 23:40:04 +0900,330,30
113,1,false,2020-10-21 23:40:09 +0900,2020-10-21 23:40:09 +0900,184,30
114,1,false,2020-10-21 23:40:15 +0900,2020-10-21 23:40:15 +0900,38,30
115,1,true,2020-10-21 23:42:23 +0900,2020-10-21 23:42:23 +0900,415,33
116,1,true,2020-10-21 23:42:28 +0900,2020-10-21 23:42:28 +0900,269,33
117,1,true,2020-10-21 23:42:32 +0900,2020-10-21 23:42:32 +0900,123,33
118,1,false,2020-10-21 23:42:38 +0900,2020-10-21 23:42:38 +0900,354,33
119,1,true,2020-10-21 23:42:42 +0900,2020-10-21 23:42:42 +0900,439,33
120,1,false,2020-10-21 23:42:47 +0900,2020-10-21 23:42:47 +0900,83,33
121,1,true,2020-10-22 00:09:25 +0900,2020-10-22 00:09:25 +0900,14,35
122,1,true,2020-10-22 00:09:28 +0900,2020-10-22 00:09:28 +0900,99,35
123,1,false,2020-10-22 00:10:12 +0900,2020-10-22 00:10:12 +0900,362,36
124,1,false,2020-10-22 00:10:15 +0900,2020-10-22 00:10:15 +0900,6,36
125,1,false,2020-10-22 00:10:18 +0900,2020-10-22 00:10:18 +0900,447,36
126,1,false,2020-10-22 00:10:22 +0900,2020-10-22 00:10:22 +0900,91,36
127,1,false,2020-10-22 00:10:29 +0900,2020-10-22 00:10:29 +0900,176,36
128,1,false,2020-10-22 00:10:36 +0900,2020-10-22 00:10:36 +0900,30,36
129,1,false,2020-10-22 00:10:43 +0900,2020-10-22 00:10:43 +0900,261,36
130,1,false,2020-10-22 00:10:50 +0900,2020-10-22 00:10:50 +0900,115,36
131,1,false,2020-10-22 00:10:57 +0900,2020-10-22 00:10:57 +0900,346,36
132,1,false,2020-10-22 00:11:04 +0900,2020-10-22 00:11:04 +0900,200,36
133,1,false,2020-10-22 00:11:34 +0900,2020-10-22 00:11:34 +0900,431,37
134,1,false,2020-10-22 00:11:38 +0900,2020-10-22 00:11:38 +0900,285,37
135,1,false,2020-10-22 00:20:28 +0900,2020-10-22 00:20:28 +0900,55,43
136,1,false,2020-10-22 00:20:35 +0900,2020-10-22 00:20:35 +0900,140,43
137,1,false,2020-10-22 00:20:41 +0900,2020-10-22 00:20:41 +0900,371,43
138,1,false,2020-10-22 00:20:47 +0900,2020-10-22 00:20:47 +0900,225,43
139,1,false,2020-10-22 00:20:53 +0900,2020-10-22 00:20:53 +0900,79,43
140,1,false,2020-10-22 00:20:59 +0900,2020-10-22 00:20:59 +0900,310,43
141,1,true,2020-10-22 00:21:03 +0900,2020-10-22 00:21:03 +0900,164,43
142,1,true,2020-10-22 00:21:09 +0900,2020-10-22 00:21:09 +0900,395,43
